stage1_regularization_factor,stage1_regularization_value,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
class_weight_mode,effective_number,3,s1_024,main_effect_class_weight_mode-effective_number_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cweffective_number_ep9,0.5555555555555556,0.5478400924840554,0.4739690685023401,0.47714390872285606,0.54320987654321,0.5555555555555556,0.5212962962962963,0.5353142628050421,0.5478400924840554,0.5127226107226106,0.46500870474554684,0.47714390872285606,0.44526315789473675,0.06752955740606444,0.07184135089359564,0.06502940666451251,0.48282208021234224,0.48671278791433015,0.4808146664913215,0.6592122864449877,0.6671378076924009,0.6537647990209553
dropout,0.4,3,s1_049,main_effect_dropout-0p4_lr0.001_wd0.005_do0.4_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5537037037037037,0.5399106321954619,0.5038292448485889,0.4929068124857598,0.5246913580246914,0.5537037037037037,0.4722222222222222,0.5140515312782727,0.5399106321954619,0.4646188485343671,0.47461757643800984,0.4929068124857598,0.442016806722689,0.04163342114026528,0.04536092116265146,0.03936546605459503,0.4801639370095847,0.49668881724319014,0.46653253310778153,0.6540724236074791,0.6697464465273126,0.6390818494077429
dropout,0.6,3,s1_008,main_effect_dropout-0p6_lr0.001_wd0.005_do0.6_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5481481481481482,0.5390975778980895,0.4792257863082401,0.47901298701298706,0.5330246913580247,0.5481481481481482,0.5092592592592593,0.5215447876532814,0.5390975778980895,0.4960690338213558,0.45821138510612197,0.47901298701298706,0.42381954887218043,0.05196134393848315,0.0555169619034121,0.04996998413176594,0.47470457345225897,0.4822311921008757,0.46695121729061795,0.6472592087378456,0.6728153900674818,0.6307722670349769
combined_regularization,wd0.01_do0.6_ls0.15_mw0.9,3,s1_034,focused_combo_combined_regularization-wd0p01_do0p6_ls0p15_mw0p9_lr0.001_wd0.01_do0.6_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5481481481481482,0.5473720331424374,0.46670349788650467,0.49315619967793883,0.5367283950617284,0.5481481481481482,0.5203703703703704,0.527675903067013,0.5473720331424374,0.5128894035790432,0.48230382592252746,0.49315619967793883,0.47121559554996095,0.06501827376592602,0.06921257586910211,0.060238580303052465,0.47571244552143915,0.4781227574468021,0.47301486474662013,0.7709666191948976,0.7805787718930005,0.7603974182431064
weight_decay,0.02,3,s1_047,main_effect_weight_decay-0p02_lr0.001_wd0.02_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5472222222222223,0.5421997924103188,0.44880690618489494,0.5142857142857142,0.5447530864197531,0.5472222222222223,0.5425925925925925,0.5341971565501725,0.5421997924103188,0.5286056401068739,0.4798596267703819,0.5142857142857142,0.4497003378010243,0.07137539894362256,0.08645143819498204,0.048401222365500464,0.4777963605084789,0.4862885944902959,0.4730163935381394,0.6507260533629271,0.6553357307373799,0.6419659708588936
weight_decay,0.01,3,s1_004,main_effect_weight_decay-0p01_lr0.001_wd0.01_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5462962962962963,0.5361341352295721,0.43992829557472857,0.48571428571428565,0.5339506172839505,0.5462962962962963,0.5194444444444445,0.5261353501872489,0.5361341352295721,0.5121779987958478,0.47365079365079366,0.48571428571428565,0.4638095238095238,0.06464585874423105,0.08567942371908215,0.050119883713793945,0.48324028547795117,0.49130034456922883,0.4764314280480174,0.6611833601180505,0.6639788741821379,0.6572896938221356
combined_regularization,wd0.01_do0.4_ls0.15_mw0.9,3,s1_029,focused_combo_combined_regularization-wd0p01_do0p4_ls0p15_mw0p9_lr0.001_wd0.01_do0.4_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5444444444444444,0.5468719606157574,0.48490831876741525,0.5047619047619047,0.5290123456790123,0.5444444444444444,0.5203703703703704,0.5198183223835696,0.5468719606157574,0.5042039286249812,0.4688712690817953,0.5047619047619047,0.4452285258601048,0.05284895651719185,0.06310577485699534,0.0474847459442892,0.4873580206373925,0.48956288847365287,0.48525066065747324,0.7926167478863025,0.8033985850329032,0.7819143121048366
max_windows_fraction,1.0,3,s1_098,main_effect_max_windows_fraction-1p0_lr0.001_wd0.005_do0.5_ls0.2_mw100_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5416666666666666,0.5320534328795199,0.476260967473336,0.47125691699604744,0.5280864197530865,0.5416666666666666,0.5194444444444444,0.518705975542831,0.5320534328795199,0.5063854869548772,0.47334476681791254,0.4845449974861739,0.46423238597151634,0.0786636598274335,0.10166228149484938,0.05268429017009743,0.47757524494210496,0.49453424237720134,0.46162786055252764,0.6381075755327684,0.6599499165086546,0.6153256594176432
combined_regularization,wd0.005_do0.6_ls0.15_mw0.9,3,s1_069,focused_combo_combined_regularization-wd0p005_do0p6_ls0p15_mw0p9_lr0.001_wd0.005_do0.6_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5398148148148147,0.5232278348175508,0.47445964146849445,0.47823313940961,0.5330246913580247,0.5398148148148147,0.5231481481481481,0.524810286749833,0.5360725888796064,0.5151304365523417,0.4786103549445408,0.4804232804232805,0.477174645000732,0.06037139162971545,0.08114408259335792,0.04732650069504831,0.48061585834396564,0.4836992607227818,0.4785321230725358,0.7739365731211488,0.7820850725015164,0.7694725358681055
combined_regularization,wd0.01_do0.6_ls0.2_mw0.9,3,s1_119,focused_combo_combined_regularization-wd0p01_do0p6_ls0p2_mw0p9_lr0.001_wd0.01_do0.6_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5398148148148147,0.5323689697030658,0.45287700029222433,0.46770895770895776,0.5358024691358024,0.5398148148148147,0.5333333333333333,0.5265866357875152,0.5323689697030658,0.5211978648423662,0.4625093746832878,0.46770895770895776,0.4556576756576757,0.06844531109918435,0.08657531193410935,0.048732212470150985,0.477604592216099,0.4859380802662893,0.47078797430715547,0.6402265233859059,0.6557839556455571,0.6307142880128891
combined_regularization,wd0.01_do0.4_ls0.3_mw0.9,3,s1_073,focused_combo_combined_regularization-wd0p01_do0p4_ls0p3_mw0p9_lr0.001_wd0.01_do0.4_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5351851851851851,0.5224156041183905,0.46413873464449495,0.4673703489492963,0.5271604938271603,0.5351851851851851,0.5148148148148147,0.5155446538442007,0.5297803551000482,0.49443800231416335,0.46700693435677954,0.5044444444444445,0.42920600967659794,0.05160510798041867,0.06092845880134108,0.0366589498052392,0.47968274305753617,0.4873786710248481,0.4738747588091109,0.4707096881959763,0.47352160567979207,0.4659695785978971
reference,15,1,ref_rank2_fixed_epoch_ep15,original_rank_parameters_no_early_stopping_static_only_ep15,0.5314814814814814,0.5212910471171341,0.4650236123640708,0.4558136645962733,0.5314814814814814,0.5314814814814814,0.5314814814814814,0.5212910471171341,0.5212910471171341,0.5212910471171341,0.4558136645962733,0.4558136645962733,0.4558136645962733,0.05353181303541577,0.05353181303541577,0.05353181303541577,0.4815658672881996,0.4815658672881996,0.4815658672881996,3.354911912845062,3.354911912845062,3.354911912845062
reference,10,1,ref_rank2_fixed_epoch_ep10,original_rank_parameters_no_early_stopping_static_only_ep10,0.5185185185185185,0.5082926675882659,0.48355770172939844,0.45558592132505177,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5082926675882659,0.5082926675882659,0.5082926675882659,0.45558592132505177,0.45558592132505177,0.45558592132505177,0.028160937640269584,0.028160937640269584,0.028160937640269584,0.5000007249916301,0.5000007249916301,0.5000007249916301,3.1269275136787873,3.1269275136787873,3.1269275136787873
