cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,cnn_epochs,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
0.01,0.5,0.15,0.9,10,1,s1_074,focused_combo_combined_regularization-wd0p01_do0p5_ls0p15_mw0p9_lr0.001_wd0.01_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5675925925925925,0.5576793692091847,0.47548865059396117,0.49598155467720684,0.5675925925925925,0.5675925925925925,0.5675925925925925,0.5576793692091847,0.5576793692091847,0.5576793692091847,0.49598155467720684,0.49598155467720684,0.49598155467720684,0.07418972453337087,0.07418972453337087,0.07418972453337087,0.47186582392266346,0.47186582392266346,0.47186582392266346,0.7607065799601318,0.7607065799601318,0.7607065799601318
0.005,0.5,0.2,0.7,10,1,s1_057,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5657407407407409,0.5529212967576139,0.4550804004237726,0.49747899159663866,0.5657407407407409,0.5657407407407409,0.5657407407407409,0.5529212967576139,0.5529212967576139,0.5529212967576139,0.49747899159663866,0.49747899159663866,0.49747899159663866,0.08913690322838676,0.08913690322838676,0.08913690322838676,0.46792943505499685,0.46792943505499685,0.46792943505499685,0.6313662442734782,0.6313662442734782,0.6313662442734782
0.001,0.5,0.2,0.9,9,1,s1_002,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5657407407407408,0.5589990504851187,0.492316276601352,0.505772297877561,0.5657407407407408,0.5657407407407408,0.5657407407407408,0.5589990504851187,0.5589990504851187,0.5589990504851187,0.505772297877561,0.505772297877561,0.505772297877561,0.059143405269153015,0.059143405269153015,0.059143405269153015,0.48930463637469235,0.48930463637469235,0.48930463637469235,0.6691327189118853,0.6691327189118853,0.6691327189118853
0.005,0.4,0.3,0.9,10,1,s1_068,focused_combo_combined_regularization-wd0p005_do0p4_ls0p3_mw0p9_lr0.001_wd0.005_do0.4_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5657407407407407,0.5487017156676599,0.5288489856832641,0.506641604010025,0.5657407407407407,0.5657407407407407,0.5657407407407407,0.5487017156676599,0.5487017156676599,0.5487017156676599,0.506641604010025,0.506641604010025,0.506641604010025,0.029716308399780032,0.029716308399780032,0.029716308399780032,0.47086637206961096,0.47086637206961096,0.47086637206961096,0.4686043756247498,0.4686043756247498,0.4686043756247498
0.005,0.7,0.2,0.9,10,1,s1_051,main_effect_dropout-0p7_lr0.001_wd0.005_do0.7_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5648148148148148,0.5525769470056723,0.4827237683012304,0.4732964094728801,0.5648148148148148,0.5648148148148148,0.5648148148148148,0.5525769470056723,0.5525769470056723,0.5525769470056723,0.4732964094728801,0.4732964094728801,0.4732964094728801,0.06612433730132268,0.06612433730132268,0.06612433730132268,0.4763815615721228,0.4763815615721228,0.4763815615721228,0.6098926680714063,0.6098926680714063,0.6098926680714063
0.005,0.5,0.05,0.9,10,1,s1_052,main_effect_label_smoothing-0p05_lr0.001_wd0.005_do0.5_ls0.05_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5638888888888889,0.5494666580982371,0.5225626406576868,0.48802981813508123,0.5638888888888889,0.5638888888888889,0.5638888888888889,0.5494666580982371,0.5494666580982371,0.5494666580982371,0.48802981813508123,0.48802981813508123,0.48802981813508123,0.03328829261527324,0.03328829261527324,0.03328829261527324,0.47496495775028025,0.47496495775028025,0.47496495775028025,1.2162210709827277,1.2162210709827277,1.2162210709827277
0.01,0.6,0.3,0.9,10,1,s1_078,focused_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p9_lr0.001_wd0.01_do0.6_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.562962962962963,0.5449206514907148,0.4783356897969696,0.49014992025518345,0.562962962962963,0.562962962962963,0.562962962962963,0.5449206514907148,0.5449206514907148,0.5449206514907148,0.49014992025518345,0.49014992025518345,0.49014992025518345,0.0681672678492814,0.0681672678492814,0.0681672678492814,0.4668674416549215,0.4668674416549215,0.4668674416549215,0.45095963352107277,0.45095963352107277,0.45095963352107277
0.005,0.5,0.15,0.9,15,1,s1_096,main_effect_label_smoothing-0p15_lr0.001_wd0.005_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.562037037037037,0.5561030921138608,0.49642962356621073,0.5383942007649101,0.562037037037037,0.562037037037037,0.562037037037037,0.5561030921138608,0.5561030921138608,0.5561030921138608,0.5383942007649101,0.5383942007649101,0.5383942007649101,0.05284677101898522,0.05284677101898522,0.05284677101898522,0.46983380793460805,0.46983380793460805,0.46983380793460805,0.7697726749432972,0.7697726749432972,0.7697726749432972
0.005,0.5,0.2,0.9,9,15,s1_037,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.562037037037037,0.5525338606642954,0.4444864937239746,0.5262820512820513,0.4930246913580247,0.562037037037037,0.39629629629629626,0.4831351809314897,0.5525338606642954,0.37836463041403146,0.4101910716046939,0.5262820512820513,0.2617647058823529,0.06549166405802707,0.13380350486796674,0.028160937640269564,0.522449194951416,0.5829950682792947,0.46967749267696934,1.0241696796763755,2.511308876090209,0.6307664375816329
0.005,0.6,0.3,0.9,10,1,s1_070,focused_combo_combined_regularization-wd0p005_do0p6_ls0p3_mw0p9_lr0.001_wd0.005_do0.6_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5592592592592592,0.5421113288530168,0.4978387008676158,0.45533333333333337,0.5592592592592592,0.5592592592592592,0.5592592592592592,0.5421113288530168,0.5421113288530168,0.5421113288530168,0.45533333333333337,0.45533333333333337,0.45533333333333337,0.04947425928663904,0.04947425928663904,0.04947425928663904,0.47160217249047054,0.47160217249047054,0.47160217249047054,0.459641238060542,0.459641238060542,0.459641238060542
0.005,0.5,0.2,0.5,15,1,s1_100,main_effect_max_windows_fraction-0p5_lr0.001_wd0.005_do0.5_ls0.2_mw50_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5583333333333333,0.5348670330531953,0.5152077576130356,0.4428370391218689,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5348670330531953,0.5348670330531953,0.5348670330531953,0.4428370391218689,0.4428370391218689,0.4428370391218689,0.03473765089315572,0.03473765089315572,0.03473765089315572,0.48461732211836994,0.48461732211836994,0.48461732211836994,0.657029029607372,0.657029029607372,0.657029029607372
0.005,0.5,0.1,0.9,10,1,s1_053,main_effect_label_smoothing-0p1_lr0.001_wd0.005_do0.5_ls0.1_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5564814814814815,0.5406190687910972,0.5236148962012377,0.48508771929824557,0.5564814814814815,0.5564814814814815,0.5564814814814815,0.5406190687910972,0.5406190687910972,0.5406190687910972,0.48508771929824557,0.48508771929824557,0.48508771929824557,0.026474034176844047,0.026474034176844047,0.026474034176844047,0.4711808349170889,0.4711808349170889,0.4711808349170889,0.931632334464787,0.931632334464787,0.931632334464787
