overfit_config_id,overfit_stage,model,cnn_epochs,sqi_mode,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_macro_f1_mean,worst_class_recall_mean,worst_class_f1_mean,pre_frail_recall_mean,pre_frail_f1_mean,pre_frail_precision_mean,robust_non_frail_recall_mean,robust_non_frail_f1_mean,robust_non_frail_precision_mean,young_recall_mean,young_f1_mean,young_precision_mean,overfit_rank
gen_164,generalization,small_inceptiontime,10,top50_quality,class_subject_balanced,50%,30.0,0.5657407407407408,0.5519782369706989,0.4083333333333333,0.4506410256410256,0.7555555555555555,0.6449197860962566,0.5726923076923077,0.5166666666666667,0.5603738991748145,0.6248063048063047,0.425,0.45064102564102554,0.4878571428571428,11
gen_121,generalization,small_inceptiontime,10,none,class_subject_balanced,50%,0.0,0.5648148148148148,0.5562188030482551,0.3916666666666667,0.4541942268258057,0.711111111111111,0.6472727272727272,0.5967832167832168,0.5333333333333333,0.5515969979677073,0.5893106893106893,0.45,0.46978668390433087,0.5057142857142857,12
ref_20260608_top2_s1_091,fixed_reference,inceptiontime,10,none,none,all,50.0,0.5648148148148148,0.5466865481228114,0.3666666666666666,0.4285225885225885,0.711111111111111,0.6160127591706539,0.5457575757575758,0.4333333333333333,0.48133195307108345,0.5590909090909091,0.55,0.5427149321266969,0.5476190476190477,13
gen_024,generalization,inceptiontime,10,top50_quality,class_subject_balanced,50%,30.0,0.5648148148148147,0.5475522062478584,0.35,0.4128937728937728,0.7777777777777777,0.6423451910408431,0.5507226107226106,0.5166666666666667,0.5540843214756258,0.6112121212121213,0.4,0.44622710622710626,0.5142857142857142,14
gen_094,generalization,inceptiontime,15,none,class_subject_balanced,50%,30.0,0.562962962962963,0.5462729515440513,0.4083333333333334,0.4502380952380952,0.6888888888888889,0.6125626598465475,0.571590909090909,0.45,0.47023809523809523,0.525,0.55,0.5560180995475114,0.5790476190476189,15
gen_116,generalization,small_inceptiontime,10,none,subject_balanced,50%,30.0,0.5629629629629629,0.55839857673191,0.3916666666666667,0.4399206349206349,0.6888888888888889,0.6374747474747474,0.6098124098124098,0.6,0.5946257446257446,0.5976190476190476,0.4,0.44309523809523804,0.5107142857142857,16
gen_065,generalization,inceptiontime,15,none,class_subject_balanced,50%,0.0,0.5629629629629629,0.552113955950273,0.3916666666666667,0.4457142857142856,0.6888888888888889,0.6327195225916454,0.5946969696969696,0.5,0.5237904124860646,0.5772727272727273,0.5,0.49983193277310917,0.5088888888888888,17
ref_20260608_top3_s1_105,fixed_reference,inceptiontime,10,none,none,all,50.0,0.5601851851851852,0.5510904171881423,0.4083333333333333,0.4576441102756892,0.6888888888888889,0.6061244019138756,0.5444755244755244,0.5166666666666667,0.5437855051127362,0.5901298701298702,0.475,0.5033613445378151,0.553968253968254,18
gen_001,generalization,inceptiontime,10,none,none,all,0.0,0.5592592592592592,0.5486065416065415,0.4,0.4509206349206349,0.711111111111111,0.6088080808080808,0.5444444444444445,0.4666666666666667,0.5082020202020202,0.5866666666666667,0.5,0.5288095238095238,0.5630952380952381,19
gen_177,generalization,small_inceptiontime,15,none,class_subject_balanced,50%,0.0,0.5583333333333333,0.5521513543598167,0.4333333333333333,0.4629288358700124,0.6666666666666667,0.5908027644869749,0.5351825951825951,0.5333333333333334,0.5782491582491581,0.6483333333333332,0.475,0.48740214034331675,0.5155555555555555,20
gen_198,generalization,small_inceptiontime,15,none,none,all,30.0,0.5583333333333333,0.5456649616368286,0.425,0.4776190476190476,0.7333333333333332,0.6266666666666666,0.5506060606060605,0.4666666666666667,0.5162525879917184,0.584090909090909,0.475,0.4940756302521008,0.5218253968253969,21
gen_108,generalization,inceptiontime,15,top50_quality,class_subject_balanced,50%,30.0,0.5574074074074075,0.5438815592806707,0.4083333333333334,0.4540345428789365,0.6888888888888889,0.619205500381971,0.5690559440559441,0.4333333333333334,0.49288735673175027,0.5794877344877345,0.55,0.5195518207282912,0.5023199023199023,22
