overfit_config_id,reference_source,reference_source_config_id,repeat,seed,model,cnn_epochs,sqi_mode,aggregation,subject_balanced_accuracy,subject_macro_f1,worst_class_recall,worst_class_f1,train_val_balanced_accuracy_gap,best_epoch_train_balanced_accuracy,best_epoch_val_balanced_accuracy,duration_sec
ref_20260608_top3_s1_105,20260608.0,s1_105,4,30042,inceptiontime,10,none,mean_prob,0.5509259259259259,0.5367965367965367,0.375,0.4285714285714285,0.4629631176966921,0.9929033759289874,0.5299402582322953,543.3994582560845
ref_20260608_top3_s1_105,20260608.0,s1_105,5,40042,inceptiontime,10,none,mean_prob,0.6064814814814815,0.5836382399849892,0.4166666666666667,0.5263157894736842,0.4898400697418339,0.9929707296641888,0.503130659922355,543.7284406069666
ref_20260608_top4_s1_163,20260608.0,s1_163,1,42,inceptiontime,15,none,mean_prob,0.625,0.6258169934640523,0.5833333333333334,0.5833333333333334,0.4267885376092679,0.9958361976532408,0.5690476600439729,803.8308802370448
ref_20260608_top4_s1_163,20260608.0,s1_163,2,10042,inceptiontime,15,none,mean_prob,0.4768518518518518,0.4818884818884819,0.375,0.4285714285714285,0.5414376119145601,0.9964130148116668,0.4549754028971066,802.1761490202043
ref_20260608_top4_s1_163,20260608.0,s1_163,3,20042,inceptiontime,15,none,mean_prob,0.5185185185185185,0.5183574879227053,0.5,0.5,0.4805135128443685,0.9961188835306088,0.5156053706862402,800.9507343720179
ref_20260608_top4_s1_163,20260608.0,s1_163,4,30042,inceptiontime,15,none,mean_prob,0.5694444444444444,0.5548085901027077,0.4166666666666667,0.4761904761904761,0.4371192521435114,0.9965484797523828,0.5594292276088714,796.6352282080334
ref_20260608_top4_s1_163,20260608.0,s1_163,5,40042,inceptiontime,15,none,mean_prob,0.5509259259259259,0.5434782608695653,0.375,0.5,0.4871112197698442,0.995182945976518,0.5080717262066738,800.290501690004
ref_20260625_top1_s1_122,20260625.0,s1_122,1,42,inceptiontime,15,top50_quality,quality_weighted_mean,0.6435185185185185,0.6207729468599034,0.4166666666666667,0.5,0.4360811070193008,0.995764485378215,0.5596833783589142,433.6837872560136
ref_20260625_top1_s1_122,20260625.0,s1_122,2,10042,inceptiontime,15,top50_quality,quality_weighted_mean,0.611111111111111,0.6133333333333333,0.5,0.5333333333333333,0.4867731437768261,0.99520710424999,0.5084339604731639,433.9768574000336
ref_20260625_top1_s1_122,20260625.0,s1_122,3,20042,inceptiontime,15,top50_quality,quality_weighted_mean,0.6296296296296297,0.609090909090909,0.5,0.5,0.4786265598741833,0.9956253861905424,0.5169988263163592,433.0272890108172
ref_20260625_top1_s1_122,20260625.0,s1_122,4,30042,inceptiontime,15,top50_quality,quality_weighted_mean,0.611111111111111,0.6178266178266177,0.5,0.5714285714285714,0.4298298149861722,0.9950137060806112,0.565183891094439,433.3650222769938
ref_20260625_top1_s1_122,20260625.0,s1_122,5,40042,inceptiontime,15,top50_quality,quality_weighted_mean,0.6203703703703703,0.6121212121212122,0.5,0.5,0.4733001058408532,0.9938943530070474,0.5205942471661942,433.9556324828882
ref_20260625_top2_s1_102,20260625.0,s1_102,1,42,inceptiontime,15,top50_quality,mean_prob,0.6712962962962963,0.6551226551226551,0.5,0.5714285714285714,0.4400508767745641,0.9955259046673014,0.5554750278927373,433.52142900507897
ref_20260625_top2_s1_102,20260625.0,s1_102,2,10042,inceptiontime,15,top50_quality,mean_prob,0.611111111111111,0.6133333333333333,0.5,0.5333333333333333,0.4901094560324625,0.9954418722214632,0.5053324161890008,433.100146779092
ref_20260625_top2_s1_102,20260625.0,s1_102,3,20042,inceptiontime,15,top50_quality,mean_prob,0.5925925925925926,0.5793650793650794,0.5,0.5,0.4815038440687252,0.9954162412004224,0.513912397131697,433.3119797061663
ref_20260625_top2_s1_102,20260625.0,s1_102,4,30042,inceptiontime,15,top50_quality,mean_prob,0.611111111111111,0.6178266178266177,0.5,0.5714285714285714,0.4368472445870833,0.9949491277070376,0.5581018831199543,432.8806166499853
ref_20260625_top2_s1_102,20260625.0,s1_102,5,40042,inceptiontime,15,top50_quality,mean_prob,0.6018518518518519,0.5747255840135098,0.4166666666666667,0.4705882352941176,0.4732780990442657,0.9938948449791478,0.520616745934882,432.4117984471377
