model,factor_id,reference_profile,variant_profile,reference_case_id,variant_case_id,repeat,fold,reference_native_aggregation_view,variant_native_aggregation_view,contrast_metrics_available,inference,reference_native_balanced_accuracy,variant_native_balanced_accuracy,delta_native_balanced_accuracy,reference_native_macro_f1,variant_native_macro_f1,delta_native_macro_f1,reference_native_worst_class_f1,variant_native_worst_class_f1,delta_native_worst_class_f1
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,2,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.3,0.07777777777777778,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,3,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7777777777777777,0.6666666666666666,-0.11111111111111105,0.7222222222222222,0.5833333333333334,-0.13888888888888884,0.5,0.0,-0.5
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,3,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.3333333333333333,0.0,0.27777777777777773,0.3333333333333333,0.05555555555555558,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,3,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,3,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.3333333333333333,-0.16666666666666669,0.4444444444444444,0.27777777777777773,-0.16666666666666669,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,3,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.5555555555555555,-0.11111111111111116,0.6190476190476191,0.5555555555555555,-0.0634920634920636,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,4,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.6666666666666666,0.0,0.5555555555555555,0.5555555555555555,0.0,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,4,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.38888888888888884,0.5,0.11111111111111116,0.35714285714285715,0.47222222222222215,0.115079365079365,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,4,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.611111111111111,0.7222222222222222,0.11111111111111116,0.6,0.7222222222222222,0.12222222222222223,0.4,0.5,0.09999999999999998
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,4,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.3,0.13333333333333333,-0.16666666666666666,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,4,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.3333333333333333,-0.16666666666666669,0.5222222222222223,0.3333333333333333,-0.18888888888888894,0.4,0.0,-0.4
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,0,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.16666666666666666,-0.33333333333333337,0.5,0.09523809523809523,-0.40476190476190477,0.5,0.0,-0.5
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,0,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.611111111111111,0.7222222222222222,0.11111111111111116,0.5,0.7222222222222222,0.2222222222222222,0.5,0.5,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,0,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.16666666666666666,0.6666666666666666,0.5,0.09523809523809523,0.6555555555555556,0.5603174603174603,0.0,0.5,0.5
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,0,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5
