case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,metric_source
compact_cnn__b4_star_fixed10,0,0,Pre-Frail,0.3,0.3333333333333333,0.65,0.4916666666666667,0.3157894736842105,0.4611111111111111,0.391194051914427,9,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,0,1,Robust/Non-Frail,0.36363636363636365,0.3333333333333333,0.5882352941176471,0.4607843137254902,0.34782608695652173,0.45588235294117646,0.39214000414980804,12,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,0,2,Young,0.5,0.5,0.8095238095238095,0.6547619047619048,0.5,0.6845238095238095,0.5866652983032294,8,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,1,0,Pre-Frail,0.4444444444444444,0.4444444444444444,0.75,0.5972222222222222,0.4444444444444444,0.7166666666666667,0.6290325959443606,9,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,1,1,Robust/Non-Frail,0.5,0.5833333333333334,0.5882352941176471,0.5857843137254902,0.5384615384615384,0.5784313725490196,0.5679770483692053,12,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,1,2,Young,0.5,0.375,0.8571428571428571,0.6160714285714286,0.42857142857142855,0.6309523809523809,0.5565702450570872,8,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,2,0,Pre-Frail,0.375,0.3333333333333333,0.75,0.5416666666666666,0.35294117647058826,0.7055555555555555,0.46452503560346703,9,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,2,1,Robust/Non-Frail,0.4666666666666667,0.5833333333333334,0.5294117647058824,0.5563725490196079,0.5185185185185185,0.6470588235294118,0.639592731829574,12,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,2,2,Young,0.5,0.375,0.8571428571428571,0.6160714285714286,0.42857142857142855,0.6785714285714285,0.6229967948717949,8,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,3,0,Pre-Frail,0.375,0.6666666666666666,0.5,0.5833333333333333,0.48,0.5611111111111111,0.3692660825013766,9,participant_oof_per_repeat
compact_cnn__b4_star_fixed10,3,1,Robust/Non-Frail,0.5,0.25,0.8235294117647058,0.5367647058823529,0.3333333333333333,0.4901960784313726,0.5076248313090418,12,participant_oof_per_repeat
