case_id,class_label,class_name,metric,n,mean_sd
compact_cnn__b7_star_fixed10,0,Pre-Frail,recall,5,62.2 ± 16.9
compact_cnn__b7_star_fixed10,0,Pre-Frail,specificity,5,76.0 ± 8.2
compact_cnn__b7_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,74.8 ± 6.7
compact_cnn__b7_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,68.6 ± 7.3
compact_cnn__b7_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.9 ± 6.0
compact_cnn__b7_star_fixed10,1,Robust/Non-Frail,f1,5,48.1 ± 8.4
compact_cnn__b7_star_fixed10,1,Robust/Non-Frail,recall,5,46.7 ± 9.5
compact_cnn__b7_star_fixed10,1,Robust/Non-Frail,specificity,5,67.1 ± 3.2
compact_cnn__b7_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,58.7 ± 5.9
compact_cnn__b7_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,52.3 ± 5.7
compact_cnn__b7_star_fixed10,2,Young,balanced_accuracy_ovr,5,68.6 ± 8.1
compact_cnn__b7_star_fixed10,2,Young,f1,5,53.7 ± 12.0
compact_cnn__b7_star_fixed10,2,Young,recall,5,52.5 ± 18.5
compact_cnn__b7_star_fixed10,2,Young,specificity,5,84.8 ± 12.3
compact_cnn__b7_star_fixed10,2,Young,roc_auc_ovr,5,74.0 ± 2.7
compact_cnn__b7_star_fixed10,2,Young,pr_auc_ovr,5,62.0 ± 10.5
inception_full__b0_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,67.4 ± 2.5
inception_full__b0_star_fixed10,0,Pre-Frail,f1,5,55.1 ± 3.9
inception_full__b0_star_fixed10,0,Pre-Frail,recall,5,57.8 ± 9.3
inception_full__b0_star_fixed10,0,Pre-Frail,specificity,5,77.0 ± 5.7
inception_full__b0_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,75.9 ± 5.0
inception_full__b0_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,62.1 ± 5.5
inception_full__b0_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.2 ± 5.9
inception_full__b0_star_fixed10,1,Robust/Non-Frail,f1,5,48.9 ± 7.8
inception_full__b0_star_fixed10,1,Robust/Non-Frail,recall,5,50.0 ± 10.2
inception_full__b0_star_fixed10,1,Robust/Non-Frail,specificity,5,62.4 ± 3.2
inception_full__b0_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,59.6 ± 2.0
inception_full__b0_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,53.8 ± 4.4
inception_full__b0_star_fixed10,2,Young,balanced_accuracy_ovr,5,77.0 ± 2.0
inception_full__b0_star_fixed10,2,Young,f1,5,67.7 ± 3.8
inception_full__b0_star_fixed10,2,Young,recall,5,62.5 ± 0.0
inception_full__b0_star_fixed10,2,Young,specificity,5,91.4 ± 4.0
inception_full__b0_star_fixed10,2,Young,roc_auc_ovr,5,83.0 ± 5.7
inception_full__b0_star_fixed10,2,Young,pr_auc_ovr,5,77.7 ± 5.1
inception_full__b1_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,64.7 ± 4.3
inception_full__b1_star_fixed10,0,Pre-Frail,f1,5,51.6 ± 5.4
inception_full__b1_star_fixed10,0,Pre-Frail,recall,5,53.3 ± 9.3
inception_full__b1_star_fixed10,0,Pre-Frail,specificity,5,76.0 ± 9.6
inception_full__b1_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,75.0 ± 6.1
inception_full__b1_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,67.8 ± 3.9
inception_full__b1_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,57.5 ± 2.1
inception_full__b1_star_fixed10,1,Robust/Non-Frail,f1,5,51.5 ± 5.3
inception_full__b1_star_fixed10,1,Robust/Non-Frail,recall,5,55.0 ± 12.6
inception_full__b1_star_fixed10,1,Robust/Non-Frail,specificity,5,60.0 ± 9.7
inception_full__b1_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,60.7 ± 5.2
inception_full__b1_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,56.6 ± 6.8
inception_full__b1_star_fixed10,2,Young,balanced_accuracy_ovr,5,65.1 ± 6.3
inception_full__b1_star_fixed10,2,Young,f1,5,48.4 ± 11.4
inception_full__b1_star_fixed10,2,Young,recall,5,42.5 ± 11.2
inception_full__b1_star_fixed10,2,Young,specificity,5,87.6 ± 5.4
inception_full__b1_star_fixed10,2,Young,roc_auc_ovr,5,68.3 ± 10.1
inception_full__b1_star_fixed10,2,Young,pr_auc_ovr,5,60.0 ± 10.4
inception_full__b2_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,60.7 ± 6.0
inception_full__b2_star_fixed10,0,Pre-Frail,f1,5,44.8 ± 9.1
inception_full__b2_star_fixed10,0,Pre-Frail,recall,5,44.4 ± 15.7
inception_full__b2_star_fixed10,0,Pre-Frail,specificity,5,77.0 ± 12.0
inception_full__b2_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,72.4 ± 5.9
inception_full__b2_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,61.1 ± 2.3
inception_full__b2_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,55.6 ± 6.8
inception_full__b2_star_fixed10,1,Robust/Non-Frail,f1,5,51.2 ± 9.8
inception_full__b2_star_fixed10,1,Robust/Non-Frail,recall,5,58.3 ± 15.6
inception_full__b2_star_fixed10,1,Robust/Non-Frail,specificity,5,52.9 ± 11.8
inception_full__b2_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,58.6 ± 4.5
inception_full__b2_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,55.2 ± 7.7
inception_full__b2_star_fixed10,2,Young,balanced_accuracy_ovr,5,71.7 ± 2.1
inception_full__b2_star_fixed10,2,Young,f1,5,59.5 ± 3.4
inception_full__b2_star_fixed10,2,Young,recall,5,50.0 ± 8.8
inception_full__b2_star_fixed10,2,Young,specificity,5,93.3 ± 5.4
inception_full__b2_star_fixed10,2,Young,roc_auc_ovr,5,83.3 ± 6.8
inception_full__b2_star_fixed10,2,Young,pr_auc_ovr,5,76.3 ± 5.9
inception_full__b3_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,62.2 ± 3.9
inception_full__b3_star_fixed10,0,Pre-Frail,f1,5,48.9 ± 4.7
inception_full__b3_star_fixed10,0,Pre-Frail,recall,5,53.3 ± 9.3
inception_full__b3_star_fixed10,0,Pre-Frail,specificity,5,71.0 ± 8.9
inception_full__b3_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,74.4 ± 2.1
inception_full__b3_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,61.0 ± 4.6
inception_full__b3_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,53.0 ± 7.3
inception_full__b3_star_fixed10,1,Robust/Non-Frail,f1,5,45.6 ± 11.7
inception_full__b3_star_fixed10,1,Robust/Non-Frail,recall,5,48.3 ± 16.0
inception_full__b3_star_fixed10,1,Robust/Non-Frail,specificity,5,57.6 ± 7.7
inception_full__b3_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,55.9 ± 3.9
