case_id,epoch,epoch_rng_seed,fold,member,numpy_epoch_rng_seed,repeat,training_loss,training_seed,learning_curve_status,learning_curve_training_data_scope,learning_curve_outer_heldout_used,learning_curve_validation_metric,metric_used_for_selection_or_checkpoint,outer_heldout_used,training_balanced_accuracy_aggregation_rule,training_balanced_accuracy_unit,training_data_scope,training_participant_balanced_accuracy
compact_cnn__b0_star_fixed10,1,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,2,2000042,3,0,2000042,0,0.05285686483547852,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,2,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,3,3000042,3,0,3000042,0,0.03780150589045191,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,3,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,4,4000042,3,0,4000042,0,0.02656947852947083,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,4,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,5,5000042,3,0,5000042,0,0.024094586089983792,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,5,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,6,6000042,3,0,6000042,0,0.015590991986269297,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,6,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,7,7000042,3,0,7000042,0,0.01611351107755395,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,7,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,8,8000042,3,0,8000042,0,0.020561716731829882,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,8,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
compact_cnn__b0_star_fixed10,9,9000042,3,0,9000042,0,0.011555764261250488,42,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,,,,,,
compact_cnn__b0_star_fixed10,9,,3,,,0,,,outer_train_loss_and_participant_ba_fixed_epoch,full_outer_train_only,False,not_applicable_fixed_epoch_no_inner_validation,False,False,line_a_equal_files,participant,full_outer_train_only,1.0
