case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
inception_full__b4_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,43.0 ± 6.6,43.1 ± 6.5,0.3194444444444445,0.3466666666666666,5,145,same_fitted_oof_report_reaggregation
inception_full__b4_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,41.6 ± 6.0,41.4 ± 6.4,0.30277777777777776,0.3175438596491228,5,145,same_fitted_oof_report_reaggregation
inception_full__b5_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,52.3 ± 3.3,52.1 ± 3.4,0.4111111111111111,0.43076179858788555,5,145,same_fitted_oof_report_reaggregation
inception_full__b5_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,51.8 ± 3.5,51.5 ± 3.3,0.40555555555555556,0.4218729096989966,5,145,same_fitted_oof_report_reaggregation
inception_full__b5_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,51.1 ± 4.7,50.8 ± 4.1,0.3833333333333333,0.4071090770404272,5,145,same_fitted_oof_report_reaggregation
inception_full__b6_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,56.0 ± 3.4,56.2 ± 4.2,0.47777777777777775,0.4915750915750915,5,145,same_fitted_oof_report_reaggregation
inception_full__b6_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,56.0 ± 3.4,56.2 ± 4.2,0.47777777777777775,0.4915750915750915,5,145,same_fitted_oof_report_reaggregation
inception_full__b6_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,53.7 ± 6.2,54.0 ± 6.5,0.425,0.4665855883247187,5,145,same_fitted_oof_report_reaggregation
inception_full__b7_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,56.8 ± 2.1,57.2 ± 2.2,0.45555555555555555,0.4662898550724638,5,145,same_fitted_oof_report_reaggregation
inception_full__b7_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,56.8 ± 2.1,57.2 ± 2.2,0.45555555555555555,0.4662898550724638,5,145,same_fitted_oof_report_reaggregation
inception_full__b7_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,57.3 ± 3.3,57.9 ± 4.0,0.4666666666666667,0.4698705608117373,5,145,same_fitted_oof_report_reaggregation
