rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
76,s1_069,inception_time,57.4 ± 2.8,"[54.0, 60.9]",58.3 ± 2.8,"[54.7, 61.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
77,s1_137,inception_time,57.4 ± 5.4,"[50.7, 64.1]",57.1 ± 5.4,"[50.3, 63.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
78,s1_071,inception_time,57.4 ± 6.9,"[48.9, 65.9]",56.8 ± 6.7,"[48.5, 65.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
79,s1_116,inception_time,57.3 ± 8.2,"[47.2, 67.4]",57.5 ± 7.9,"[47.7, 67.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
80,s1_092,inception_time,57.2 ± 8.0,"[47.3, 67.1]",57.5 ± 7.7,"[47.9, 67.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
81,s1_057,inception_time,57.2 ± 3.4,"[53.0, 61.4]",57.7 ± 3.1,"[53.8, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
82,s1_082,inception_time,57.2 ± 2.3,"[54.4, 60.1]",57.4 ± 2.0,"[54.9, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
83,s1_184,inception_time,57.1 ± 8.1,"[47.1, 67.2]",57.1 ± 6.9,"[48.6, 65.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
84,s1_147,inception_time,57.1 ± 7.7,"[47.5, 66.7]",57.0 ± 7.2,"[48.0, 65.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
85,s1_095,inception_time,57.0 ± 5.4,"[50.3, 63.8]",57.5 ± 6.0,"[50.2, 64.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
86,s1_035,inception_time,57.0 ± 6.0,"[49.5, 64.5]",56.8 ± 6.4,"[48.9, 64.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
87,s1_108,inception_time,57.0 ± 1.1,"[55.7, 58.4]",56.8 ± 1.7,"[54.7, 58.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
88,s1_113,inception_time,56.9 ± 11.8,"[42.3, 71.6]",56.8 ± 11.2,"[43.0, 70.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
89,s1_125,inception_time,56.9 ± 10.4,"[44.0, 69.7]",57.2 ± 9.6,"[45.2, 69.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
90,s1_143,inception_time,56.9 ± 8.5,"[46.4, 67.3]",56.7 ± 7.3,"[47.6, 65.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
91,s1_007,inception_time,56.8 ± 8.2,"[46.6, 66.9]",56.9 ± 9.7,"[44.9, 69.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
92,s1_083,inception_time,56.7 ± 3.1,"[52.8, 60.5]",57.5 ± 3.8,"[52.7, 62.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
93,s1_132,inception_time,56.5 ± 4.0,"[51.6, 61.4]",56.5 ± 3.6,"[52.1, 61.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
94,s1_048,inception_time,56.5 ± 5.6,"[49.5, 63.5]",56.7 ± 5.0,"[50.5, 62.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
95,s1_023,inception_time,56.4 ± 3.0,"[52.7, 60.1]",57.4 ± 2.9,"[53.8, 61.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
96,s1_090,inception_time,56.4 ± 3.2,"[52.5, 60.3]",56.0 ± 2.5,"[52.9, 59.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
97,s1_003,inception_time,56.3 ± 4.0,"[51.3, 61.3]",56.4 ± 5.2,"[49.9, 62.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
98,s1_168,inception_time,56.3 ± 2.4,"[53.4, 59.2]",56.3 ± 2.3,"[53.4, 59.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
99,s1_013,inception_time,56.2 ± 6.6,"[48.1, 64.3]",57.5 ± 7.0,"[48.8, 66.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
