source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_012,1,42,0.5555555555555556,0.5481146304675716,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_012,2,10042,0.5138888888888888,0.5095238095238096,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_012,3,20042,0.4675925925925925,0.4350314288394784,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_012,4,30042,0.5833333333333334,0.584920634920635,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_012,5,40042,0.5787037037037037,0.5485505206867436,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_013,1,42,0.6018518518518519,0.6083333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_013,2,10042,0.4305555555555555,0.4081232492997199,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_013,3,20042,0.6064814814814815,0.5828460038986355,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_013,4,30042,0.5694444444444444,0.5575396825396824,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_013,5,40042,0.5416666666666666,0.5182474903837133,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_014,1,42,0.6527777777777778,0.6577777777777777,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_014,2,10042,0.5185185185185185,0.5183574879227053,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_014,3,20042,0.4537037037037037,0.4499030381383322,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_014,4,30042,0.5370370370370371,0.5124183006535947,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_014,5,40042,0.4537037037037037,0.4499384294780714,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_015,1,42,0.5648148148148148,0.5576259489302967,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_015,2,10042,0.3796296296296296,0.3699102829537612,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_015,3,20042,0.6157407407407408,0.6143790849673203,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
