source_study,comparison_family,comparison_id,comparison_role,factor,epoch,reference_case_id,candidate_case_id,repeat,split_seed,comparison_contract_status,difference_direction,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,reference_macro_roc_auc_ovr,candidate_macro_roc_auc_ovr,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,macro_roc_auc_ovr_unavailability_reason,automatic_selection
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.3564814814814814,-0.18518518518518523,0.5400501253132832,0.3358664039778591,-0.20418372133542412,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.4259259259259259,0.4305555555555555,0.00462962962962965,0.4229595728451563,0.4187742729942219,-0.00418529985093441,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5,0.3935185185185185,-0.10648148148148151,0.4814814814814814,0.379558586719712,-0.10192289476176941,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5833333333333334,0.3935185185185185,-0.18981481481481488,0.584920634920635,0.3796296296296296,-0.20529100529100536,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5972222222222222,0.4166666666666667,-0.18055555555555552,0.5945165945165946,0.4107227432035616,-0.18379385131303294,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.5138888888888888,-0.02777777777777779,0.5400501253132832,0.4844732151233699,-0.05557691018991334,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.4259259259259259,0.3425925925925925,-0.08333333333333337,0.4229595728451563,0.3381642512077294,-0.08479532163742687,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5,0.5324074074074074,0.03240740740740744,0.4814814814814814,0.533816425120773,0.05233494363929159,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5833333333333334,0.3935185185185185,-0.18981481481481488,0.584920634920635,0.386078431372549,-0.19884220354808596,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5972222222222222,0.5,-0.09722222222222221,0.5945165945165946,0.4953242835595777,-0.09919231095701686,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
