source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_099,inception_time,s1_099,s1_099,5,40042,0.5740740740740741,0.5762962962962962,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_102,inception_time,s1_102,s1_102,1,42,0.6435185185185185,0.6207729468599034,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_102,inception_time,s1_102,s1_102,2,10042,0.611111111111111,0.6133333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_102,inception_time,s1_102,s1_102,3,20042,0.5925925925925926,0.5793650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_102,inception_time,s1_102,s1_102,4,30042,0.611111111111111,0.6133333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_102,inception_time,s1_102,s1_102,5,40042,0.5925925925925926,0.5793650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_121,inception_time,s1_121,s1_121,1,42,0.625,0.6251207729468599,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_121,inception_time,s1_121,s1_121,2,10042,0.5462962962962963,0.5584615384615385,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_121,inception_time,s1_121,s1_121,3,20042,0.4722222222222221,0.4582953278605453,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_121,inception_time,s1_121,s1_121,4,30042,0.6759259259259259,0.6815114709851552,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_121,inception_time,s1_121,s1_121,5,40042,0.6435185185185185,0.6131476745287486,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_122,inception_time,s1_122,s1_122,1,42,0.6990740740740741,0.6883116883116882,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_122,inception_time,s1_122,s1_122,2,10042,0.5277777777777778,0.5223171889838556,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_122,inception_time,s1_122,s1_122,3,20042,0.5925925925925926,0.5793650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_122,inception_time,s1_122,s1_122,4,30042,0.611111111111111,0.6178266178266177,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_122,inception_time,s1_122,s1_122,5,40042,0.6203703703703703,0.6121212121212122,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
