source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_121,small_inception_time,gen_121,gen_121,1,42,0.5694444444444444,0.5695006747638326,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_121,small_inception_time,gen_121,gen_121,2,10042,0.6064814814814815,0.6018045112781955,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_121,small_inception_time,gen_121,gen_121,3,20042,0.5138888888888888,0.5072463768115942,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_121,small_inception_time,gen_121,gen_121,4,30042,0.5277777777777778,0.5189042124026644,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_121,small_inception_time,gen_121,gen_121,5,40042,0.6064814814814815,0.5836382399849892,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_136,small_inception_time,gen_136,gen_136,1,42,0.5092592592592592,0.4929292929292928,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_136,small_inception_time,gen_136,gen_136,2,10042,0.4953703703703704,0.4695652173913043,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_136,small_inception_time,gen_136,gen_136,3,20042,0.5324074074074074,0.5331705331705332,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_136,small_inception_time,gen_136,gen_136,4,30042,0.6064814814814815,0.5982905982905983,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_136,small_inception_time,gen_136,gen_136,5,40042,0.6898148148148149,0.6858314263920672,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_164,small_inception_time,gen_164,gen_164,1,42,0.5092592592592592,0.4929292929292928,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_164,small_inception_time,gen_164,gen_164,2,10042,0.5324074074074073,0.4959064327485379,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_164,small_inception_time,gen_164,gen_164,3,20042,0.5462962962962963,0.5494117647058824,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_164,small_inception_time,gen_164,gen_164,4,30042,0.5787037037037037,0.5688659166920037,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_164,small_inception_time,gen_164,gen_164,5,40042,0.6620370370370371,0.6527777777777778,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_212,small_inception_time,gen_212,gen_212,1,42,0.5648148148148148,0.5525814536340852,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_212,small_inception_time,gen_212,gen_212,2,10042,0.5092592592592592,0.4891774891774891,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_212,small_inception_time,gen_212,gen_212,3,20042,0.5648148148148148,0.5521048999309869,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_212,small_inception_time,gen_212,gen_212,4,30042,0.611111111111111,0.6143358395989974,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_212,small_inception_time,gen_212,gen_212,5,40042,0.6574074074074074,0.6429951690821256,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260608_top2_s1_091,inception_time,ref_20260608_top2_s1_091,ref_20260608_top2_s1_091,1,42,0.5833333333333334,0.5622782446311858,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260608_top2_s1_091,inception_time,ref_20260608_top2_s1_091,ref_20260608_top2_s1_091,2,10042,0.5648148148148148,0.5476190476190476,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260608_top2_s1_091,inception_time,ref_20260608_top2_s1_091,ref_20260608_top2_s1_091,3,20042,0.4722222222222221,0.4582953278605453,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
