source_study,comparison_id,parameter_group,parameter,reference_value,candidate_value,repeat,split_seed,reference_config_count,candidate_config_count,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,comparison_role
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=50%,4,30042,32,32,0.5730613425925926,0.5520833333333333,-0.0209780092592593,0.5685055143266013,0.539204929877316,-0.029300584449285294,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=50%,5,40042,32,32,0.5734953703703705,0.5943287037037036,0.02083333333333315,0.561346664144764,0.5876963584288972,0.02634969428413325,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=16,1,42,32,32,0.5571469907407407,0.5169270833333334,-0.04021990740740733,0.5522027623278964,0.5101524810404932,-0.04205028128740329,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=16,2,10042,32,32,0.48263888888888884,0.4116030092592592,-0.07103587962962965,0.4682576922498668,0.40210767247827806,-0.06615001977158874,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=16,3,20042,32,32,0.48828125,0.3994502314814814,-0.0888310185185186,0.4776298303557538,0.39132022515198384,-0.08630960520376996,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=16,4,30042,32,32,0.5730613425925926,0.48697916666666663,-0.08608217592592593,0.5685055143266013,0.4738296983132237,-0.09467581601337766,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=16,5,40042,32,32,0.5734953703703705,0.5173611111111112,-0.0561342592592593,0.561346664144764,0.5107729704085273,-0.05057369373623666,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=32,1,42,32,32,0.5571469907407407,0.5230034722222222,-0.03414351851851849,0.5522027623278964,0.5192478000342716,-0.03295496229362482,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=32,2,10042,32,32,0.48263888888888884,0.4509548611111111,-0.031684027777777735,0.4682576922498668,0.434548822699314,-0.0337088695505528,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=32,3,20042,32,32,0.48828125,0.47106481481481477,-0.01721643518518523,0.4776298303557538,0.45757800570638635,-0.020051824649367445,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=32,4,30042,32,32,0.5730613425925926,0.5043402777777777,-0.06872106481481488,0.5685055143266013,0.49945437621108424,-0.06905113811551711,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=32,5,40042,32,32,0.5734953703703705,0.5345775462962963,-0.03891782407407418,0.561346664144764,0.5229608375624972,-0.03838582658226675,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=50%,1,42,32,32,0.5571469907407407,0.546875,-0.0102719907407407,0.5522027623278964,0.5353701160892783,-0.016832646238618132,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=50%,2,10042,32,32,0.48263888888888884,0.4700520833333333,-0.012586805555555525,0.4682576922498668,0.45115723615077213,-0.017100456099094663,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=50%,3,20042,32,32,0.48828125,0.4813368055555555,-0.006944444444444475,0.4776298303557538,0.4645313201286274,-0.013098510227126381,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=50%,4,30042,32,32,0.5730613425925926,0.53515625,-0.03790509259259256,0.5685055143266013,0.5227800695914357,-0.0457254447351656,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=50%,5,40042,32,32,0.5734953703703705,0.5522280092592592,-0.02126736111111127,0.561346664144764,0.5409074825491311,-0.02043918159563285,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
